"year","jupas_code","jupas_href","institute","prog_chi","prog_eng","prog_short","funding","req_min_chi","req_min_eng","req_min_ls","req_min_mathsc","prog_duration","prog_level","prog_interview","prog_intake","prog_url","req_min_desc","prog_contact","req_min_electivenote","req_min_electives","requires","apl_accept","apl_subjects","first_any","first_m1m2","first_bio","first_chem","first_phy","first_ict","first_bafsa","first_bafsb","first_econ","first_geog","first_chist","first_hist","first_clit","first_elit","first_mus","first_va","second_any","second_m1m2","second_bio","second_chem","second_phy","second_ict","second_bafsa","second_bafsb","second_econ","second_geog","second_chist","second_hist","second_clit","second_elit","second_mus","second_va","req_fixed_subjects","one_following_count","any_one","two_compulsory","any_two","hku_m1m2_workaround"
"2023",JS1000,https://www.jupas.edu.hk/tc/programme/cityu/JS1000,CityU,理學士(計算金融及金融科技),BSc Computational Finance and Financial Technology,BScCFFT,UGC-funded,3,3,Attained,4,"4 years",Bachelor's Degree,Yes (on a selective basis),"10",https://www.cityu.edu.hk/admo/programmes/bsc-computational-finance-and-financial-technology  https://www.cb.cityu.edu.hk/js1000,"Notes for Elective Subject(s):  Besides Category A elective subjects, Mathematics extended modules (M1/M2) and Category C other language subjectÂ (at grade E or above) can also be used to meet the elective requirement. If students take both M1 and M2, they are counted as one subject only. Applied Learning (ApL) subjects are not counted as elective subjects.",College of Business   Email: cb.ug@cityu.edu.hk    Tel: Whatsapp (852) 6331-7712,"","","",0,"",,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,0,,,1,
"2023",JS1001,https://www.jupas.edu.hk/tc/programme/cityu/JS1001,CityU,工商管理學士(環球商業),BBA Global Business,BBAGBU,UGC-funded,3,3,Attained,3,"4 years",Bachelor's Degree,Yes (on a selective basis),"15",https://www.cityu.edu.hk/admo/programmes/bba-global-business  https://www.cb.cityu.edu.hk/js1001,"Notes for Elective Subject(s):  Besides Category A elective subjects, Mathematics extended modules (M1/M2) and Category C other language subjectÂ (at grade E or above) can also be used to meet the elective requirement. If students take both M1 and M2, they are counted as one subject only. Applied Learning (ApL) subjects are not counted as elective subjects.  Â",College of Business   Email: cb.ug@cityu.edu.hk    Tel: Whatsapp (852) 6331-7712,"","","",0,"",,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,0,,,1,
"2023",JS1002,https://www.jupas.edu.hk/tc/programme/cityu/JS1002,CityU,工商管理學士(會計),BBA Accountancy,BBAAC,UGC-funded,3,3,Attained,3,"4 years",Bachelor's Degree,Yes (on a selective basis),"150",https://www.cityu.edu.hk/admo/programmes/bba-accountancy  https://www.cb.cityu.edu.hk/ac/programmes/undergraduate/current/,"Notes for Elective Subject(s):  Besides Category A elective subjects, Mathematics extended modules (M1/M2) and Category C other language subjectÂ (at grade E or above) can also be used to meet the elective requirement. If students take both M1 and M2, they are counted as one subject only. Applied Learning (ApL) subjects are not counted as elective subjects.",Prof. Xiangang XIN Major Leader   Email: xiangxin@cityu.edu.hk    Tel: (852) 3442-7919,"","","",0,"",,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,0,,,1,
"2023",JS1005,https://www.jupas.edu.hk/tc/programme/cityu/JS1005,CityU,工商管理學士(管理學),BBA Management,BBAMGMT,UGC-funded,3,3,Attained,3,"4 years",Bachelor's Degree,Yes (on a selective basis),"60",https://www.cityu.edu.hk/admo/programmes/bba-management  https://www.cityu.edu.hk/mgt,"Notes for Elective Subject(s):  Besides Category A elective subjects, Mathematics extended modules (M1/M2) and Category C other language subjectÂ (at grade E or above) can also be used to meet the elective requirement. If students take both M1 and M2, they are counted as one subject only. Applied Learning (ApL) subjects are not counted as elective subjects.",Department of Management   Email: mgtadm@cityu.edu.hk,"","","",0,"",,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,0,,,1,
"2023",JS1007,https://www.jupas.edu.hk/tc/programme/cityu/JS1007,CityU,工商管理學士(市場營銷),BBA Marketing,BBAMKT,UGC-funded,3,3,Attained,3,"4 years",Bachelor's Degree,Yes (on a selective basis),"85",https://www.cityu.edu.hk/admo/programmes/bba-marketing  https://www.cityu.edu.hk/mkt,"Notes for Elective Subject(s):  Besides Category A elective subjects, Mathematics extended modules (M1/M2) and Category C other language subjectÂ (at grade E or above) can also be used to meet the elective requirement. If students take both M1 and M2, they are counted as one subject only. Applied Learning (ApL) subjects are not counted as elective subjects.",Mr. Alex THAM   Email: mkalexth@cityu.edu.hk    Tel: (852) 3442-7851,"","","",0,"",,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,0,,,1,
"2023",JS1012,https://www.jupas.edu.hk/tc/programme/cityu/JS1012,CityU,經濟及金融系 [選項: 工商管理學士(商業經濟)、工商管理學士(金融)],"Department of Economics and Finance (options: BBA Business Economics, BBA Finance)",EF,UGC-funded,3,3,Attained,3,"4 years",Bachelor's Degree,No,"20",https://www.cityu.edu.hk/admo/programmes/department-economics-and-finance-options-bba-business-economics-bba-finance  https://www.cityu.edu.hk/ef,"Notes for Elective Subject(s):  Besides Category A elective subjects, Mathematics extended modules (M1/M2) and Category C other language subjectÂ (at grade E or above) can also be used to meet the elective requirement. If students take both M1 and M2, they are counted as one subject only. Applied Learning (ApL) subjects are not counted as elective subjects.",Prof. Junbo WANG   Email: efgo@cityu.edu.hk    Tel: (852) 3442-2439,"","","",0,"",,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,0,,,1,
"2023",JS1013,https://www.jupas.edu.hk/tc/programme/cityu/JS1013,CityU,工商管理學士(商業經濟),BBA Business Economics,BBABE,UGC-funded,3,3,Attained,3,"4 years",Bachelor's Degree,No,"36",https://www.cityu.edu.hk/admo/programmes/bba-business-economics  https://www.cityu.edu.hk/ef,"Notes for Elective Subject(s):  Besides Category A elective subjects, Mathematics extended modules (M1/M2) and Category C other language subjectÂ (at grade E or above) can also be used to meet the elective requirement. If students take both M1 and M2, they are counted as one subject only. Applied Learning (ApL) subjects are not counted as elective subjects.",Prof. Junbo WANG   Email: efgo@cityu.edu.hk    Tel: (852) 3442-2439,"","","",0,"",,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,0,,,1,
"2023",JS1014,https://www.jupas.edu.hk/tc/programme/cityu/JS1014,CityU,工商管理學士(金融),BBA Finance,BBAFIN,UGC-funded,3,3,Attained,3,"4 years",Bachelor's Degree,No,"104",https://www.cityu.edu.hk/admo/programmes/bba-finance  https://www.cityu.edu.hk/ef,"Notes for Elective Subject(s):  Besides Category A elective subjects, Mathematics extended modules (M1/M2) and Category C other language subjectÂ (at grade E or above) can also be used to meet the elective requirement. If students take both M1 and M2, they are counted as one subject only. Applied Learning (ApL) subjects are not counted as elective subjects.",Prof. Junbo WANG   Email: efgo@cityu.edu.hk    Tel: (852) 3442-2439,"","","",0,"",,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,0,,,1,
"2023",JS1017,https://www.jupas.edu.hk/tc/programme/cityu/JS1017,CityU,資訊系統學系 [選項: 工商管理學士(環球商業系統管理)、工商管理學士(資訊管理)],"Department of Information Systems (options: BBA Global Business Systems Management, BBA Information Management)",IS,UGC-funded,3,3,Attained,3,"4 years",Bachelor's Degree,Yes (on a selective basis),"65",https://www.cityu.edu.hk/admo/programmes/department-information-systems-options-bba-global-business-systems-management-bba  https://www.cityu.edu.hk/is,"Notes for Elective Subject(s):  Besides Category A elective subjects, Mathematics extended modules (M1/M2) and Category C other language subjectÂ (at grade E or above) can also be used to meet the elective requirement. If students take both M1 and M2, they are counted as one subject only. Applied Learning (ApL) subjects are not counted as elective subjects.",Prof David XUProgramme Leader   Email: davidxu@cityu.edu.hk,"","","",0,"",,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,0,,,1,
"2023",JS1018,https://www.jupas.edu.hk/tc/programme/cityu/JS1018,CityU,工商管理學士(環球商業系統管理),BBA Global Business Systems Management,BBAGBSM,UGC-funded,3,3,Attained,3,"4 years",Bachelor's Degree,Yes (on a selective basis),"10",https://www.cityu.edu.hk/admo/programmes/bba-global-business-systems-management  https://www.cityu.edu.hk/is,"Notes for Elective Subject(s):  Besides Category A elective subjects, Mathematics extended modules (M1/M2) and Category C other language subjectÂ (at grade E or above) can also be used to meet the elective requirement. If students take both M1 and M2, they are counted as one subject only. Applied Learning (ApL) subjects are not counted as elective subjects.",Miss Tania Yuenkei LAUMajor Leader and Admissions Tutor   Email: tania.lau@cityu.edu.hk,"","","",0,"",,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,0,,,1,
